id_municipio,baixados,novos,pendentes,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
3301009,51537,28072,1225947,CAMPOS DOS GOYTACAZES,RJ,Sudeste,0.716,0.619,0.83,0.715,74.82,682.59,0.55,458440,-21.754,-41.324
3301108,1723,1430,99322,CANTAGALO,RJ,Sudeste,0.709,0.614,0.822,0.705,74.29,641.61,0.48,19765,-21.981,-42.368
3301207,3882,4613,336000,CARMO,RJ,Sudeste,0.696,0.608,0.813,0.683,73.77,559.66,0.47,17167,-21.934,-42.609
3301306,4555,1732,451846,CASIMIRO DE ABREU,RJ,Sudeste,0.726,0.642,0.811,0.734,73.64,768.45,0.48,35157,-22.481,-42.204
3301405,2104,734,141486,CONCEIÇÃO DE MACABU,RJ,Sudeste,0.712,0.642,0.806,0.698,73.38,614.57,0.48,20927,-22.085,-41.868
3301504,7088,4673,441859,CORDEIRO,RJ,Sudeste,0.729,0.649,0.826,0.724,74.54,724.29,0.48,20359,-22.029,-42.361
3301603,993,1304,47592,DUAS BARRAS,RJ,Sudeste,0.659,0.534,0.79,0.677,72.39,540.35,0.44,10895,-22.051,-42.522
3301702,167880,54002,2834609,DUQUE DE CAXIAS,RJ,Sudeste,0.711,0.624,0.833,0.692,75,592.81,0.46,852154,-22.786,-43.312
3301801,761,450,46286,ENGENHEIRO PAULO DE FRONTIN,RJ,Sudeste,0.722,0.694,0.805,0.674,73.32,529.05,0.45,13087,-22.55,-43.678
3301850,4422,3176,208266,GUAPIMIRIM,RJ,Sudeste,0.698,0.604,0.812,0.692,73.69,594.06,0.5,50930,-22.537,-42.982
3301876,10357,1997,544178,IGUABA GRANDE,RJ,Sudeste,0.761,0.704,0.841,0.744,75.44,818.01,0.56,22831,-22.839,-42.229
3301900,42675,24681,1487707,ITABORAÍ,RJ,Sudeste,0.693,0.593,0.813,0.69,73.75,584.35,0.48,216925,-22.744,-42.859
3302007,8562,7247,462207,ITAGUAÍ,RJ,Sudeste,0.715,0.638,0.814,0.703,73.84,635.5,0.47,108585,-22.852,-43.775
3302056,1815,1055,112647,ITALVA,RJ,Sudeste,0.688,0.595,0.792,0.692,72.52,593.88,0.47,13976,-21.421,-41.691
3302106,1627,2588,119610,ITAOCARA,RJ,Sudeste,0.713,0.635,0.82,0.696,74.18,607.18,0.49,22704,-21.679,-42.082
3302205,26882,7037,595733,ITAPERUNA,RJ,Sudeste,0.73,0.649,0.837,0.716,75.24,688.83,0.47,94916,-21.205,-41.888
3302254,5566,3122,518960,ITATIAIA,RJ,Sudeste,0.737,0.652,0.836,0.735,75.16,773.48,0.51,28598,-22.496,-44.563
3302270,23558,9950,1055827,JAPERI,RJ,Sudeste,0.659,0.555,0.809,0.637,73.51,420.15,0.42,92906,-22.643,-43.653
3302304,1452,696,24030,LAJE DO MURIAÉ,RJ,Sudeste,0.668,0.575,0.8,0.649,72.97,453.97,0.46,7463,-21.206,-42.123
3302403,19840,11945,1314256,MACAÉ,RJ,Sudeste,0.764,0.681,0.828,0.792,74.66,1103.42,0.56,205662,-22.371,-41.787
3302502,55081,17294,1676187,MAGÉ,RJ,Sudeste,0.709,0.626,0.832,0.685,74.91,567.59,0.49,225378,-22.653,-43.041
3302601,5468,4110,429368,MANGARATIBA,RJ,Sudeste,0.753,0.676,0.845,0.746,75.71,832.15,0.51,36228,-22.96,-44.041
3302700,56146,66652,1745242,MARICÁ,RJ,Sudeste,0.765,0.692,0.85,0.761,75.99,910.41,0.49,127129,-22.919,-42.819
3302809,1507,767,120507,MENDES,RJ,Sudeste,0.736,0.7,0.806,0.707,73.36,649.4,0.48,17880,-22.527,-43.733
3302908,4695,2720,201302,MIGUEL PEREIRA,RJ,Sudeste,0.745,0.675,0.828,0.74,74.68,801.63,0.55,24518,-22.454,-43.469
3303005,2614,7237,310326,MIRACEMA,RJ,Sudeste,0.713,0.646,0.805,0.696,73.32,608.62,0.5,26674,-21.412,-42.197
3303104,1718,2187,91771,NATIVIDADE,RJ,Sudeste,0.73,0.683,0.806,0.707,73.36,653.23,0.52,15001,-21.042,-41.973
3303203,17795,13518,1336147,NILÓPOLIS,RJ,Sudeste,0.753,0.716,0.817,0.731,73.99,755.26,0.45,157151,-22.808,-43.414
3303302,124370,65827,4852781,NITERÓI,RJ,Sudeste,0.837,0.773,0.854,0.887,76.23,2000.29,0.59,482761,-22.883,-43.104
3303401,22854,8719,1612678,NOVA FRIBURGO,RJ,Sudeste,0.745,0.645,0.846,0.758,75.77,894.75,0.51,181040,-22.282,-42.531
3303500,96154,116752,5389131,NOVA IGUAÇU,RJ,Sudeste,0.713,0.641,0.818,0.691,74.08,591,0.48,793785,-22.759,-43.451
3303609,4947,6980,281305,PARACAMBI,RJ,Sudeste,0.72,0.666,0.812,0.689,73.73,580.49,0.44,45563,-22.611,-43.709
3303708,8150,3997,561075,PARAÍBA DO SUL,RJ,Sudeste,0.702,0.61,0.812,0.697,73.7,613.56,0.5,40888,-22.162,-43.293
3303807,3005,5151,758740,PARATY,RJ,Sudeste,0.693,0.544,0.842,0.726,75.52,734.36,0.52,36477,-23.218,-44.713
3303856,1786,3224,314981,PATY DO ALFERES,RJ,Sudeste,0.671,0.549,0.806,0.683,73.34,562.52,0.56,26020,-22.429,-43.419
3303906,58049,30797,2561857,PETRÓPOLIS,RJ,Sudeste,0.745,0.639,0.847,0.763,75.79,922.49,0.55,293946,-22.505,-43.179
3303955,2060,1147,113034,PINHEIRAL,RJ,Sudeste,0.715,0.643,0.801,0.709,73.03,657.99,0.51,22636,-22.513,-44.001
3304003,1939,1563,145617,PIRAÍ,RJ,Sudeste,0.708,0.62,0.803,0.714,73.16,678.3,0.5,25849,-22.629,-43.898
3304102,2841,1788,87714,PORCIÚNCULA,RJ,Sudeste,0.697,0.606,0.802,0.698,73.11,615.63,0.56,17181,-20.963,-42.041
3304110,2026,1347,213131,PORTO REAL,RJ,Sudeste,0.713,0.645,0.817,0.688,74.01,577.07,0.42,16548,-22.42,-44.29
3304144,18150,6618,1175088,QUEIMADOS,RJ,Sudeste,0.68,0.589,0.81,0.659,73.58,484.4,0.43,137281,-22.716,-43.555
3304151,1873,1952,212262,QUISSAMÃ,RJ,Sudeste,0.704,0.61,0.821,0.698,74.23,616.31,0.53,20150,-22.107,-41.472
3304201,9446,13541,690949,RESENDE,RJ,Sudeste,0.768,0.709,0.839,0.762,75.31,915.21,0.52,119363,-22.469,-44.447
3304300,46918,3827,902552,RIO BONITO,RJ,Sudeste,0.71,0.62,0.819,0.705,74.16,643.54,0.48,54524,-22.708,-42.626
3304409,1058,622,56668,RIO CLARO,RJ,Sudeste,0.683,0.567,0.801,0.7,73.07,623.62,0.5,17262,-22.723,-44.136
3304508,979,431,38279,RIO DAS FLORES,RJ,Sudeste,0.68,0.575,0.822,0.664,74.32,499.13,0.46,8520,-22.168,-43.586
3304524,48787,34886,2266040,RIO DAS OSTRAS,RJ,Sudeste,0.773,0.689,0.854,0.784,76.26,1051.19,0.53,104853,-22.527,-41.945
3304557,812517,488761,25893934,RIO DE JANEIRO,RJ,Sudeste,0.799,0.719,0.845,0.84,75.69,1492.63,0.62,6262802,-22.903,-43.208
3304607,788,336,34459,SANTA MARIA MADALENA,RJ,Sudeste,0.668,0.556,0.797,0.672,72.79,522.66,0.48,10153,-21.955,-42.008
3304706,5401,9334,265712,SANTO ANTÔNIO DE PÁDUA,RJ,Sudeste,0.718,0.648,0.806,0.709,73.33,657.53,0.51,40311,-21.539,-42.18
3304755,7522,2658,666872,SÃO FRANCISCO DE ITABAPOANA,RJ,Sudeste,0.639,0.533,0.791,0.618,72.44,375.49,0.49,40246,-21.47,-41.119
3304805,2733,2961,180893,SÃO FIDÉLIS,RJ,Sudeste,0.691,0.611,0.787,0.685,72.21,567.23,0.47,37369,-21.646,-41.747
3304904,147847,60642,8117438,SÃO GONÇALO,RJ,Sudeste,0.739,0.681,0.833,0.711,74.96,669.3,0.43,995011,-22.827,-43.054
3305000,5044,6457,371923,SÃO JOÃO DA BARRA,RJ,Sudeste,0.671,0.551,0.8,0.686,73.02,570.38,0.48,32368,-21.64,-41.051
3305109,33482,25474,2636879,SÃO JOÃO DE MERITI,RJ,Sudeste,0.719,0.646,0.831,0.693,74.87,597.57,0.43,458123,-22.804,-43.372
3305133,66,43,1923,SÃO JOSÉ DE UBÁ,RJ,Sudeste,0.652,0.548,0.798,0.633,72.88,410.44,0.47,6964,-21.358,-41.943
3305158,2819,932,175688,SÃO JOSÉ DO VALE DO RIO PRETO,RJ,Sudeste,0.66,0.533,0.806,0.67,73.33,517.99,0.47,20105,-22.151,-42.924
3305208,7751,6274,1011323,SÃO PEDRO DA ALDEIA,RJ,Sudeste,0.712,0.626,0.801,0.721,73.03,710.04,0.5,87448,-22.839,-42.103
3305307,692,479,18717,SÃO SEBASTIÃO DO ALTO,RJ,Sudeste,0.646,0.536,0.789,0.638,72.35,423.88,0.42,8610,-21.957,-42.135
3305406,2522,2867,169457,SAPUCAIA,RJ,Sudeste,0.675,0.561,0.804,0.682,73.26,558.94,0.5,16974,-21.995,-42.914
3305505,9897,10036,871901,SAQUAREMA,RJ,Sudeste,0.709,0.621,0.804,0.714,73.26,681.62,0.52,73569,-22.92,-42.51
3305554,92395,2715,1227381,SEROPÉDICA,RJ,Sudeste,0.713,0.648,0.805,0.695,73.3,604.82,0.47,77380,-22.744,-43.708
3305604,1070,1412,178756,SILVA JARDIM,RJ,Sudeste,0.654,0.536,0.793,0.657,72.6,476.99,0.49,21043,-22.651,-42.392
3305703,1303,532,29586,SUMIDOURO,RJ,Sudeste,0.611,0.436,0.796,0.658,72.78,479.46,0.47,14729,-22.05,-42.675
3305802,12566,13775,683775,TERESÓPOLIS,RJ,Sudeste,0.73,0.605,0.855,0.752,76.27,859.79,0.56,162261,-22.412,-42.966
3305901,708,422,46290,TRAJANO DE MORAES,RJ,Sudeste,0.667,0.547,0.813,0.668,73.77,510.96,0.51,10059,-22.063,-42.066
3306008,13305,19409,1361860,TRÊS RIOS,RJ,Sudeste,0.725,0.656,0.801,0.725,73.03,726.83,0.52,77133,-22.117,-43.209
3306107,5749,3558,410764,VALENÇA,RJ,Sudeste,0.738,0.666,0.848,0.713,75.85,675.62,0.52,71112,-22.246,-43.7
3306206,3710,1461,133599,VASSOURAS,RJ,Sudeste,0.714,0.624,0.813,0.719,73.79,701.06,0.52,33993,-22.404,-43.663
3306305,33126,16830,1218580,VOLTA REDONDA,RJ,Sudeste,0.771,0.72,0.833,0.763,74.98,920.51,0.5,257032,-22.523,-44.104
3500105,6297,5003,124671,ADAMANTINA,SP,Sudeste,0.79,0.75,0.852,0.772,76.13,975.43,0.51,33490,-21.685,-51.073
3500303,4415,2307,70487,AGUAÍ,SP,Sudeste,0.715,0.606,0.858,0.703,76.49,636.07,0.47,32089,-22.059,-46.979
3500501,2710,3076,153313,ÁGUAS DE LINDÓIA,SP,Sudeste,0.745,0.675,0.846,0.725,75.76,730.13,0.43,17120,-22.476,-46.633
3500709,5147,3615,155574,AGUDOS,SP,Sudeste,0.745,0.694,0.845,0.705,75.67,642.59,0.41,34113,-22.469,-48.988
3501004,3581,3313,119174,ALTINÓPOLIS,SP,Sudeste,0.73,0.635,0.843,0.726,75.57,731.49,0.45,15527,-21.026,-47.374
3501608,19110,28172,1291851,AMERICANA,SP,Sudeste,0.811,0.76,0.876,0.8,77.55,1161.68,0.47,209811,-22.739,-47.331
3501707,3482,5222,166003,AMÉRICO BRASILIENSE,SP,Sudeste,0.751,0.701,0.852,0.709,76.12,659.67,0.39,34370,-21.724,-48.102
3501905,7158,9658,515579,AMPARO,SP,Sudeste,0.785,0.711,0.871,0.78,77.27,1027.6,0.5,65469,-22.701,-46.764
3502101,14934,11008,256912,ANDRADINA,SP,Sudeste,0.779,0.702,0.885,0.762,78.07,919.36,0.51,54037,-20.896,-51.379
